kalenderId;luftfeuchtigkeit;klavierstimmungVorher;klavierstimmungNachher;resonanzboden;stege;saiten;stimmwirbel;stimmstock;hammerkoepfe;mechanik;daempfer;tastatur;oberflaeche;rahmen;anmerkungen;oertlichkeit;transport;nacharbeit;zahlungsart;kostenvoranschlag
19387;25;438;440; ;;;;;einpaar Scheitel nachgeschliffen;einaar Schrauben nachgezogen;;;;;Alles okay;;;;;false
19388;;;; ;;;;;;;;;;;;;;;;false
19452;;;; ;;;;;;;;;;;"gestimmt und intoniert
noch € 537,50 offen";;;;;false
19742;;430;430; rissig;ok;original;;;abgespielt;regulierungsbedürftig;reg bed;reg bed;nuss;;;;;;;false
19802;;;; ;;;;;;;;;;;;;;;;false
19852;;;; ;;;;;;;;;;;;;;;;false
19854;;;; okay;;neu geben;neu geben;ok;neu befilzen;großes Service;neu befilzen;Elfenbein;nuß;;tech Rest.ORF 5000,-- AK -Abholung 1.000,-- am 27.03.2015 Rest auf 3x 1.000,--;2. Stock;;;;false
19856;;;; ;;;;;;;;;;;;;;;;false
19923;;;; ;;;;;;;;;;;war nicht anwesend;;;;;false
19925;;;; ;;;;;;;;;;;;;;;;false
19971;;;; ;;;;;;;;;;;;;;;;false
20211;;;; ;;;;;;;;;;;;;;;;false
20215;;;; ;;;;;;;;;;;;;;;;false
20271;;;; ;;;;;;;;;;;;;;;;false
20274;;;; ;;;;;;;;;;;;;;;;false
20280;;;; ;;;;;;;;;;;;;;;;false
20282;;443;443; ok;;;;;;;;;;;kommt evtl nach Himberg;;;;Bar bezahlt;false
20286;28;433;439; ;;;;;;;;;;;Alles Okay;;;;Bar bezahlt;false
20342;;;; rissig;ok;original;origina;minimale Risse;abgezogen;reguliert;eingesielt;ok - reguliert;schwarz - original;;"Kunde ist zufrieden
Mechanikeinbau";;;;;false
20402;;;; ;;;13 Stck getauscht;;;;;;;;Klavier ist am Ende;;;;Bar bezahlt;false
20460;;;; ;;;;;;;;;;;;;;;;false
20581;;435;435; ;;;;;nachintoniert;;;;;;;;;;Bar bezahlt;false
20584;;415;425; ;;;;;;;;;;;edal wieder okay;;;;Bar bezahlt;false
20761;;438;441;kleine Risse;;;;;;;;;;;Bitte das instrument nicht direkter Sonnenausstrahlung aussetzen!;;;;;false
21006;;;; ;;;;;;;;;;;Totalschaden - nichts kassiert;;;;;false
21007;;400;400; ok;ok;original - gradsaitig;ok;;eingespielt;überholungsbedürfetig;--´´--;--´´--;braun ok;;;;;;Bar bezahlt;false
21062;;441;441; ;;;;;nachintoniert;;;;;;alles ok;;;;Bar bezahlt;false
21064;;;; ;;;;;;;;;;;Ist eine Versi Orgel;;;;;false
21241;;435;435; mehrere Risse;ok;ok;original, im Baß stark verrostet;ok;stark eingespielt;rep bed;fast nicht mehr vorhanden;;schwarz glänzend;;;;;;Bar bezahlt;false
21242;;400;400;stark verschmutzt;original;-´´-;;;eingespielt;d Belaf fehlt;lösen sich ab;plättchen fehlen;ok;;Bei nächster Stimmung reinigen;;;;;false
21243;;;; ;;;;;;;;;;;;;;;;false
21482;;437;439; ;;;ein paar tiefer geschlagen;;;;;ein paar geölt;;;Hydrceelstab mitnehmen;;;;Bar bezahlt;false
21542;;441;441; ;;;;;;;;;;;"auslöser Pergament abgerissen, mit papier und patex ersatz gebastelt
wieder alles okay";;;;;true
21547;;437;437; ein großer Riss;ok;original und verrostet;teilweise sehr locker;?;eingespielt;repbed;repbed;rpbed;schwarz glänzend;;Klavier wird extrem von Sonne bestrahlt;;;;Bar bezahlt;true
21600;;;; ;;;;;;;;;;;;;;;;false
21602;;437;440; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
21661;;437;440; ;;;;;;;;;;;"2 x gestimmt
OPUS 33513";;;;Bar bezahlt;false
